date,expt_type,exp,duration,genetic_background,construct,expr_type,xy,coord,sub_coord,start,end,birth,sen,dead,fluor_loss,escaped,censor,rls,div_time,growth_slope,desc,path,Name,Type,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,13,0,1,407,FALSE,238,FALSE,FALSE,FALSE,rl,FALSE,FALSE,FALSE,cell that starts young and grows old,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0235-0170-0564,Rectangle,544,152,40,36,4,none,none,0,235,0,235,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,13,0,1,407,FALSE,238,FALSE,FALSE,FALSE,rl,FALSE,FALSE,FALSE,cell that starts young and grows old,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0240-0171-0560,Rectangle,540,153,40,36,4,none,none,0,240,0,240,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,13,0,1,407,FALSE,238,FALSE,FALSE,FALSE,rl,FALSE,FALSE,FALSE,cell that starts young and grows old,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0261-0171-0557,Rectangle,537,153,40,36,4,none,none,0,261,0,261,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,13,0,1,407,FALSE,238,FALSE,FALSE,FALSE,rl,FALSE,FALSE,FALSE,cell that starts young and grows old,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0317-0170-0556,Rectangle,536,152,40,36,4,none,none,0,317,0,317,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,13,0,1,407,FALSE,238,FALSE,FALSE,FALSE,rl,FALSE,FALSE,FALSE,cell that starts young and grows old,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0407-0170-0556,Rectangle,536,152,40,36,4,none,none,0,407,0,407,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0001-0077-0601,Rectangle,590,66,22,23,4,none,none,0,1,0,1,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0002-0078-0602,Rectangle,590,66,25,25,4,none,none,0,2,0,2,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0011-0079-0588,Rectangle,574,66,29,27,4,none,none,0,11,0,11,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0017-0080-0586,Rectangle,572,67,29,27,4,none,none,0,17,0,17,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0020-0078-0585,Rectangle,570,62,31,32,4,none,none,0,20,0,20,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0024-0079-0587,Rectangle,572,63,31,32,4,none,none,0,24,0,24,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0030-0075-0584,Rectangle,570,62,28,26,4,none,none,0,30,0,30,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0031-0077-0574,Rectangle,560,64,28,26,4,none,none,0,31,0,31,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0032-0077-0573,Rectangle,559,64,28,26,4,none,none,0,32,0,32,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0034-0079-0573,Rectangle,559,66,28,26,4,none,none,0,34,0,34,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0037-0079-0573,Rectangle,559,63,28,32,4,none,none,0,37,0,37,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0038-0079-0571,Rectangle,557,63,28,32,4,none,none,0,38,0,38,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0039-0078-0562,Rectangle,548,62,28,32,4,none,none,0,39,0,39,0
20181102,byc,200,67.83,pdr5delta,pTPI1_DsRed_P2A_UbL_YFP_eRR,cen4,21,12,1,1,58,1,FALSE,FALSE,FALSE,59,r,FALSE,FALSE,FALSE,cell escapes,C:\Users\John Cooper\Projects\alignment\roi_management\roi_management_2,0040-0078-0559,Rectangle,545,62,28,32,4,none,none,0,40,0,40,0
